Barrio;Distrito;Room Type;Accommodates;Bathrooms;Price;Cleaning Fee;Extra People;Minimum Nights;Availability 30;Review Scores Rating;Cancellation Policy;image_path
45.64242424242424;42.639405204460964;32.39297210300429;2;1.0;25.0;10.0;7;1;0;100.0;61.91305785123967;model/images\image-14372147.jpg
61.69064748201439;62.620535714285715;76.61518093556928;5;2.0;150.0;30.0;0;2;5;100.0;48.861111111111114;model/images\image-17028860.jpg
65.49375;62.620535714285715;32.39297210300429;1;2.0;20.0;15.0;0;10;0;91.97563176895306;61.91305785123967;model/images\image-6551083.jpg
53.37840290381125;62.620535714285715;32.39297210300429;2;1.0;35.0;10.0;10;3;20;97.0;57.50543900543901;model/images\image-8367333.jpg
44.4537037037037;42.639405204460964;32.39297210300429;2;2.0;25.0;15.0;12;1;18;96.0;48.861111111111114;model/images\image-15174470.jpg
39.911764705882355;42.65909090909091;76.61518093556928;4;1.0;60.0;0.0;15;2;0;87.0;48.861111111111114;model/images\image-10016232.jpg
39.911764705882355;42.65909090909091;32.39297210300429;3;1.0;21.0;0.0;10;1;28;91.97563176895306;61.91305785123967;model/images\image-16524955.jpg
28.863636363636363;34.140845070422536;76.61518093556928;4;1.0;60.0;15.0;15;1;18;80.0;61.91305785123967;model/images\image-16398593.jpg
69.01379310344828;62.620535714285715;76.61518093556928;3;1.0;55.0;15.0;14;2;7;93.0;57.50543900543901;model/images\image-2684767.jpg
53.37840290381125;62.620535714285715;76.61518093556928;13;2.0;145.0;40.0;20;1;9;92.0;61.91305785123967;model/images\image-9881248.jpg
61.69064748201439;62.620535714285715;32.39297210300429;1;1.0;29.0;0.0;0;2;8;100.0;48.861111111111114;model/images\image-15098637.jpg
62.6;57.91588785046729;76.61518093556928;2;1.0;150.0;0.0;0;5;13;98.0;48.861111111111114;model/images\image-4437209.jpg
65.49375;62.620535714285715;76.61518093556928;4;1.0;86.0;33.0;0;3;12;94.0;48.861111111111114;model/images\image-8634850.jpg
69.48076923076923;58.2013769363167;32.39297210300429;2;1.0;35.0;0.0;15;1;15;99.0;57.50543900543901;model/images\image-12242112.jpg
61.69064748201439;62.620535714285715;76.61518093556928;2;1.0;80.0;0.0;0;1;0;91.97563176895306;48.861111111111114;model/images\image-13510273.jpg
61.69064748201439;62.620535714285715;32.39297210300429;1;1.0;35.0;30.0;0;7;0;91.97563176895306;61.91305785123967;model/images\image-18071571.jpg
53.37840290381125;62.620535714285715;76.61518093556928;2;1.0;59.0;10.0;0;2;0;98.0;57.50543900543901;model/images\image-12450824.jpg
45.64242424242424;42.639405204460964;76.61518093556928;4;1.0;70.0;40.0;0;2;0;95.0;57.50543900543901;model/images\image-13125827.jpg
53.37840290381125;62.620535714285715;76.61518093556928;4;2.0;140.0;90.0;0;3;11;90.0;61.91305785123967;model/images\image-5409077.jpg
57.63235294117647;68.73872180451127;32.39297210300429;2;1.0;22.0;0.0;8;2;0;87.0;57.50543900543901;model/images\image-3840575.jpg
55.270270270270274;68.73872180451127;76.61518093556928;3;1.0;50.0;20.0;0;3;8;92.0;57.50543900543901;model/images\image-2731726.jpg
34.3921568627451;35.107883817427386;76.61518093556928;5;1.0;30.0;15.0;0;7;0;91.97563176895306;48.861111111111114;model/images\image-7235686.jpg
48.62264150943396;58.2013769363167;32.39297210300429;3;1.0;30.0;0.0;30;5;21;97.0;48.861111111111114;model/images\image-5216001.jpg
53.37840290381125;62.620535714285715;32.39297210300429;1;2.0;26.0;10.0;0;1;6;90.0;57.50543900543901;model/images\image-12621485.jpg
53.640625;63.680851063829785;32.39297210300429;1;1.5;25.0;10.0;0;15;0;98.0;48.861111111111114;model/images\image-1644183.jpg
72.5973282442748;62.620535714285715;32.39297210300429;2;1.0;40.0;0.0;0;2;0;96.0;61.91305785123967;model/images\image-14889957.jpg
53.37840290381125;62.620535714285715;32.39297210300429;2;1.0;35.0;0.0;0;1;18;94.0;48.861111111111114;model/images\image-12409611.jpg
54.916666666666664;39.84090909090909;76.61518093556928;6;2.0;80.0;45.0;10;2;6;94.0;48.861111111111114;model/images\image-11509649.jpg
69.01379310344828;62.620535714285715;76.61518093556928;4;1.0;80.0;0.0;10;3;8;70.0;61.91305785123967;model/images\image-1159972.jpg
35.810810810810814;49.3515625;27.860869565217392;2;1.0;35.0;0.0;0;1;30;91.97563176895306;48.861111111111114;model/images\image-17133646.jpg
30.41176470588235;37.1;32.39297210300429;2;1.0;40.0;30.0;0;3;0;91.97563176895306;61.91305785123967;model/images\image-5112388.jpg
53.37840290381125;62.620535714285715;32.39297210300429;2;2.0;40.0;0.0;0;4;0;92.0;48.861111111111114;model/images\image-13823194.jpg
65.49375;62.620535714285715;76.61518093556928;2;1.0;70.0;30.0;0;4;2;95.0;61.91305785123967;model/images\image-8651758.jpg
