Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month;image_path
Arapiles;Chamberí;House;Private room;2;2.0;1.0;1.0;18.0;;;1;0;1;1125;0;0;0;0;1;;;;;;;;flexible;0.1;model/images\image-13614692.jpg
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;63.0;150.0;36.0;2;12;2;30;0;1;13;115;17;88.0;9.0;9.0;9.0;9.0;10.0;9.0;moderate;1.93;model/images\image-13834746.jpg
Aluche;Latina;Apartment;Private room;1;1.5;1.0;1.0;17.0;;;1;0;3;1125;30;60;90;365;40;98.0;10.0;10.0;10.0;10.0;9.0;10.0;moderate;1.41;model/images\image-4686295.jpg
Universidad;Centro;Apartment;Private room;4;2.0;1.0;2.0;38.0;;5.0;2;7;1;1125;13;37;64;339;154;86.0;9.0;9.0;9.0;9.0;10.0;9.0;strict;4.34;model/images\image-1919606.jpg
Berruguete;Tetuán;Apartment;Entire home/apt;3;1.0;1.0;2.0;80.0;300.0;30.0;3;20;1;10;21;51;81;356;3;90.0;10.0;10.0;10.0;10.0;9.0;9.0;flexible;0.47;model/images\image-14380464.jpg
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;58.0;90.0;25.0;2;10;2;1125;5;10;24;111;74;95.0;10.0;10.0;10.0;10.0;9.0;10.0;moderate;6.43;model/images\image-12505599.jpg
Sol;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;69.0;100.0;30.0;1;0;3;60;7;26;51;321;80;88.0;9.0;9.0;9.0;9.0;10.0;9.0;strict;3.84;model/images\image-7131604.jpg
Justicia;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;120.0;;;1;0;13;1125;15;45;75;166;0;;;;;;;;flexible;;model/images\image-17407894.jpg
Sol;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;70.0;;;1;0;2;7;4;18;42;87;6;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.29;model/images\image-15677606.jpg
Arapiles;Chamberí;Apartment;Entire home/apt;3;1.0;0.0;3.0;70.0;;;1;0;2;30;13;39;55;312;10;76.0;9.0;8.0;7.0;7.0;9.0;8.0;strict;0.43;model/images\image-5358575.jpg
Vallehermoso;Chamberí;Apartment;Entire home/apt;8;2.0;3.0;5.0;65.0;;85.0;3;15;8;1125;8;31;42;118;5;96.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.24;model/images\image-4647096.jpg
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;30.0;;9.0;1;0;1;7;4;24;52;327;56;95.0;10.0;10.0;10.0;10.0;10.0;9.0;moderate;7.78;model/images\image-13576656.jpg
Valdeacederas;Tetuán;Loft;Entire home/apt;4;1.5;2.0;4.0;170.0;100.0;50.0;1;0;5;1125;29;59;89;364;0;;;;;;;;moderate;;model/images\image-13594303.jpg
Embajadores;Centro;House;Private room;2;1.5;1.0;1.0;45.0;;;1;0;1;1125;0;0;0;0;1;100.0;8.0;10.0;10.0;10.0;10.0;10.0;flexible;0.06;model/images\image-9641736.jpg
Justicia;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;67.0;100.0;30.0;2;20;2;1125;10;40;60;150;13;88.0;8.0;10.0;10.0;10.0;10.0;9.0;strict;1.83;model/images\image-14383431.jpg
Universidad;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;55.0;200.0;30.0;1;10;2;360;9;32;48;323;80;94.0;10.0;10.0;10.0;10.0;10.0;9.0;strict;4.45;model/images\image-8883924.jpg
Jerónimos;Retiro;Apartment;Entire home/apt;6;2.0;2.0;3.0;100.0;400.0;40.0;2;20;3;90;18;45;75;198;2;90.0;10.0;10.0;10.0;10.0;9.0;9.0;strict;2.0;model/images\image-17401060.jpg
Alameda de Osuna;Barajas;Apartment;Private room;2;1.0;1.0;1.0;45.0;;;1;0;1;3;14;44;74;74;16;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.53;model/images\image-13120503.jpg
Palacio;Centro;Apartment;Private room;2;2.0;1.0;1.0;17.0;90.0;;1;8;3;1125;0;0;0;0;24;81.0;8.0;9.0;9.0;9.0;10.0;9.0;moderate;0.71;model/images\image-3381041.jpg
Justicia;Centro;Apartment;Entire home/apt;5;1.0;2.0;3.0;80.0;200.0;50.0;4;15;2;1125;11;29;41;131;9;87.0;9.0;8.0;10.0;10.0;10.0;10.0;moderate;2.05;model/images\image-9193422.jpg
Goya;Salamanca;House;Private room;2;1.0;1.0;2.0;35.0;;;1;0;3;1125;4;14;26;26;0;;;;;;;;flexible;;model/images\image-17074874.jpg
Sol;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;39.0;;;1;0;2;365;1;2;11;56;11;87.0;8.0;8.0;9.0;9.0;10.0;9.0;moderate;2.97;model/images\image-16144069.jpg
Palos de Moguer;Arganzuela;House;Private room;2;1.0;1.0;1.0;45.0;;;2;20;1;999;30;60;90;365;1;;;;;;;;moderate;0.07;model/images\image-10084701.jpg
Alameda de Osuna;Barajas;Apartment;Private room;1;1.0;1.0;1.0;42.0;;;1;25;1;6;3;9;15;223;21;99.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;2.16;model/images\image-12728445.jpg
Palacio;Centro;Apartment;Private room;2;1.0;1.0;1.0;26.0;;;1;8;2;30;10;24;54;145;79;88.0;9.0;9.0;9.0;9.0;10.0;9.0;moderate;3.88;model/images\image-6783343.jpg
Delicias;Arganzuela;Apartment;Private room;1;1.0;1.0;1.0;20.0;100.0;20.0;1;0;2;31;0;0;0;218;46;90.0;9.0;9.0;10.0;10.0;9.0;9.0;strict;2.44;model/images\image-3244300.jpg
Berruguete;Tetuán;Loft;Entire home/apt;3;2.0;1.0;2.0;80.0;;;1;0;1;1125;9;9;9;14;0;;;;;;;;moderate;;model/images\image-18001476.jpg
Sol;Centro;Other;Entire home/apt;6;2.0;2.0;2.0;76.0;100.0;39.0;2;25;1;60;4;8;18;220;41;98.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;7.32;model/images\image-15597738.jpg
Bellas Vistas;Tetuán;Apartment;Private room;2;1.0;1.0;1.0;26.0;;;1;0;1;1125;2;2;2;2;23;94.0;10.0;9.0;10.0;10.0;9.0;9.0;flexible;2.1;model/images\image-12296083.jpg
Sol;Centro;Apartment;Entire home/apt;6;1.0;2.0;4.0;120.0;150.0;35.0;4;20;2;120;13;34;60;225;40;99.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;4.29;model/images\image-13611914.jpg
Embajadores;Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;65.0;100.0;25.0;2;20;2;30;10;26;40;302;146;93.0;9.0;10.0;10.0;10.0;8.0;9.0;moderate;2.4;model/images\image-415967.jpg
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;175.0;;;1;0;1;1125;29;59;89;364;0;;;;;;;;flexible;;model/images\image-16863567.jpg
Peñagrande;Fuencarral - El Pardo;Apartment;Entire home/apt;4;1.0;1.0;2.0;38.0;200.0;30.0;2;15;3;120;14;38;68;343;5;95.0;10.0;9.0;10.0;10.0;9.0;10.0;strict;1.07;model/images\image-15908404.jpg
Palacio;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;85.0;100.0;30.0;2;0;2;12;2;9;21;243;18;94.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;3.42;model/images\image-15562393.jpg
Universidad;Centro;Apartment;Private room;1;1.0;1.0;1.0;27.0;200.0;70.0;1;0;3;3;30;60;90;365;0;;;;;;;;strict;;model/images\image-7091166.jpg
Justicia;Centro;Apartment;Entire home/apt;2;1.0;1.0;2.0;55.0;120.0;20.0;1;0;4;21;16;46;70;129;9;93.0;10.0;10.0;10.0;10.0;10.0;9.0;moderate;1.62;model/images\image-15450153.jpg
Almagro;Chamberí;Apartment;Private room;1;1.0;1.0;1.0;49.0;200.0;15.0;1;35;2;1125;9;25;48;305;29;98.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.61;model/images\image-8765011.jpg
Embajadores;Centro;Apartment;Private room;2;3.0;1.0;1.0;20.0;;;1;0;10;1125;0;0;5;280;0;;;;;;;;strict;;model/images\image-8810426.jpg
Fuente del Berro;Salamanca;Apartment;Private room;2;1.0;1.0;2.0;40.0;;15.0;1;20;1;1125;24;54;84;174;1;80.0;6.0;6.0;8.0;6.0;8.0;8.0;strict;0.75;model/images\image-15593854.jpg
Justicia;Centro;Apartment;Private room;2;1.0;1.0;1.0;30.0;100.0;15.0;1;0;1;1125;0;0;0;0;0;;;;;;;;moderate;;model/images\image-13259665.jpg
Palos de Moguer;Arganzuela;Apartment;Private room;2;1.0;1.0;1.0;30.0;;15.0;2;15;1;1125;0;0;0;0;3;93.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.19;model/images\image-9498579.jpg
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;75.0;200.0;30.0;2;12;2;1125;9;21;37;312;142;95.0;10.0;9.0;10.0;9.0;10.0;10.0;moderate;2.96;model/images\image-1056151.jpg
Universidad;Centro;Apartment;Entire home/apt;6;1.0;2.0;3.0;80.0;;50.0;2;10;4;30;5;11;19;19;126;95.0;10.0;9.0;10.0;10.0;10.0;9.0;strict;2.4;model/images\image-799569.jpg
Lucero;Latina;Condominium;Private room;1;1.0;1.0;1.0;22.0;;;1;0;1;1125;7;37;67;342;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.16;model/images\image-15090220.jpg
Universidad;Centro;Apartment;Private room;1;2.0;1.0;1.0;28.0;200.0;30.0;1;0;7;1125;6;36;66;341;0;;;;;;;;strict;;model/images\image-17629618.jpg
Universidad;Centro;Apartment;Private room;2;1.0;1.0;1.0;150.0;500.0;;1;0;2;1125;19;31;38;83;0;;;;;;;;moderate;;model/images\image-17714075.jpg
Palacio;Centro;Apartment;Entire home/apt;5;1.0;2.0;3.0;60.0;200.0;30.0;2;15;2;1125;12;37;63;216;8;80.0;8.0;8.0;9.0;9.0;9.0;8.0;moderate;0.35;model/images\image-1913353.jpg
Sol;Centro;Condominium;Private room;2;1.0;1.0;1.0;41.0;;;2;20;2;1125;8;31;61;61;9;98.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;4.29;model/images\image-17024286.jpg
Universidad;Centro;Apartment;Entire home/apt;3;1.0;2.0;2.0;90.0;150.0;30.0;2;30;4;1125;1;1;1;1;20;96.0;10.0;9.0;10.0;10.0;10.0;9.0;strict;1.99;model/images\image-13409081.jpg
Lucero;Latina;Apartment;Private room;2;1.0;1.0;1.0;15.0;;;1;0;1;365;5;30;60;335;50;84.0;9.0;9.0;9.0;9.0;9.0;9.0;strict;4.6;model/images\image-12822049.jpg
Sol;Centro;Apartment;Entire home/apt;4;1.0;0.0;1.0;49.0;100.0;30.0;1;10;1;28;13;29;57;139;59;91.0;9.0;9.0;9.0;9.0;10.0;9.0;moderate;3.79;model/images\image-9720208.jpg
Chopera;Arganzuela;Other;Private room;1;1.0;1.0;1.0;20.0;;;1;0;3;1125;0;6;36;39;59;92.0;10.0;9.0;10.0;10.0;9.0;9.0;strict;3.63;model/images\image-9710833.jpg
Concepción;Ciudad Lineal;Chalet;Private room;2;1.5;1.0;1.0;40.0;;;1;0;1;1125;16;46;76;351;0;;;;;;;;moderate;;model/images\image-17921755.jpg
Palacio;Centro;Apartment;Private room;2;1.0;1.0;1.0;36.0;;;1;0;2;1125;1;1;1;1;80;98.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;2.33;model/images\image-3150371.jpg
Palacio;Centro;Bed & Breakfast;Private room;2;2.0;1.0;2.0;39.0;150.0;17.0;2;10;1;1125;5;13;23;85;47;89.0;9.0;9.0;9.0;10.0;10.0;9.0;strict;3.48;model/images\image-10079445.jpg
Almendrales;Usera;Apartment;Private room;1;1.0;1.0;1.0;16.0;90.0;9.0;1;0;2;1125;9;39;69;70;23;93.0;9.0;9.0;9.0;9.0;9.0;9.0;moderate;1.9;model/images\image-11799434.jpg
Opañel;Carabanchel;Apartment;Private room;2;1.0;1.0;1.0;45.0;88.0;30.0;1;0;2;5;30;60;90;365;0;;;;;;;;strict;;model/images\image-6592291.jpg
Sol;Centro;Loft;Entire home/apt;6;1.0;1.0;3.0;99.0;;30.0;2;15;2;1125;15;40;70;345;7;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.56;model/images\image-4397381.jpg
Quintana;Ciudad Lineal;Apartment;Private room;1;1.0;1.0;1.0;25.0;;;1;0;1;1125;29;59;89;364;6;93.0;9.0;9.0;9.0;10.0;9.0;9.0;flexible;0.95;model/images\image-14510891.jpg
Valdezarza;Moncloa - Aravaca;Bed & Breakfast;Private room;2;1.0;1.0;1.0;19.0;;;1;5;1;1125;0;0;0;0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.04;model/images\image-6234730.jpg
Chopera;Arganzuela;Apartment;Private room;2;1.0;1.0;2.0;20.0;100.0;;1;0;1;1125;11;35;59;333;10;82.0;8.0;7.0;9.0;9.0;8.0;8.0;flexible;1.08;model/images\image-13741800.jpg
Vista Alegre;Carabanchel;Apartment;Private room;3;1.0;1.0;3.0;29.0;;5.0;1;10;1;1125;13;43;64;160;8;80.0;8.0;9.0;9.0;9.0;8.0;8.0;moderate;1.09;model/images\image-14244804.jpg
Cortes;Centro;Apartment;Private room;2;1.0;1.0;1.0;32.0;;25.0;1;15;2;1125;14;39;69;344;0;;;;;;;;flexible;;model/images\image-17988323.jpg
Rios Rosas;Chamberí;House;Private room;1;1.0;1.0;1.0;35.0;;;1;0;1;1125;29;59;89;364;0;;;;;;;;moderate;;model/images\image-13203744.jpg
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;75.0;;;1;0;2;90;0;2;21;143;114;98.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.8;model/images\image-319658.jpg
Palacio;Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;60.0;;;2;15;3;365;4;22;42;317;31;87.0;9.0;9.0;10.0;10.0;10.0;9.0;flexible;0.76;model/images\image-1665980.jpg
Embajadores;Centro;Apartment;Entire home/apt;5;1.0;2.0;4.0;95.0;200.0;60.0;4;0;4;1125;3;5;12;237;72;97.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.39;model/images\image-499911.jpg
Cuatro Caminos;Tetuán;Apartment;Private room;2;2.0;1.0;1.0;39.0;;;1;0;1;1125;0;0;0;0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.06;model/images\image-7326379.jpg
El Viso;Chamartín;Apartment;Entire home/apt;3;1.0;1.0;1.0;132.0;800.0;85.0;1;0;20;1125;30;60;90;365;0;;;;;;;;strict;;model/images\image-16168845.jpg
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;3.0;81.0;90.0;35.0;3;0;2;1125;10;34;61;138;8;86.0;9.0;10.0;9.0;9.0;10.0;9.0;strict;0.63;model/images\image-11670784.jpg
Valdefuentes;Hortaleza;Apartment;Entire home/apt;2;1.0;0.0;1.0;40.0;;;1;0;2;1125;10;36;66;244;37;86.0;9.0;9.0;9.0;9.0;8.0;9.0;moderate;2.01;model/images\image-6978964.jpg
Goya;Salamanca;Apartment;Entire home/apt;3;1.0;2.0;2.0;94.0;200.0;30.0;1;0;2;1125;1;5;9;204;67;99.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;4.33;model/images\image-1710251.jpg
Almendrales;Usera;Apartment;Private room;2;2.0;1.0;1.0;23.0;;6.0;1;6;2;300;3;13;32;305;4;95.0;10.0;10.0;10.0;10.0;9.0;10.0;strict;0.86;model/images\image-15923293.jpg
Acacias;Arganzuela;Apartment;Entire home/apt;2;1.0;1.0;1.0;75.0;;25.0;1;0;2;31;0;0;0;120;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.13;model/images\image-16299322.jpg
Puerta del Angel;Latina;Apartment;Private room;1;1.0;1.0;1.0;15.0;;;1;0;3;25;0;1;1;1;0;;;;;;;;moderate;;model/images\image-16198054.jpg
Cortes;Centro;Apartment;Entire home/apt;4;2.0;1.0;1.0;62.0;150.0;20.0;2;20;3;1125;9;23;44;313;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.22;model/images\image-16307720.jpg
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;32.0;;;1;12;1;1125;7;25;53;328;69;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;6.47;model/images\image-13060683.jpg
Puerta del Angel;Latina;Apartment;Private room;4;1.0;1.0;2.0;50.0;;;1;0;1;1125;5;34;64;155;0;;;;;;;;flexible;;model/images\image-18023378.jpg
Embajadores;Centro;Apartment;Private room;1;1.0;1.0;1.0;20.0;;;1;0;2;1125;0;0;0;0;4;85.0;8.0;8.0;8.0;10.0;10.0;8.0;flexible;0.25;model/images\image-3796653.jpg
Arapiles;Chamberí;Apartment;Entire home/apt;2;1.0;2.0;1.0;70.0;;30.0;1;0;2;1125;0;0;17;292;4;90.0;10.0;8.0;10.0;9.0;10.0;9.0;strict;0.3;model/images\image-10362655.jpg
Jerónimos;Retiro;Apartment;Entire home/apt;4;2.0;1.0;4.0;69.0;;25.0;3;29;2;1125;11;24;24;290;4;90.0;9.0;10.0;10.0;10.0;10.0;9.0;moderate;3.24;model/images\image-12492955.jpg
Puerta del Angel;Latina;Apartment;Private room;2;1.0;1.0;1.0;22.0;;;1;0;1;1125;26;56;86;361;0;;;;;;;;flexible;;model/images\image-12825535.jpg
El Viso;Chamartín;Apartment;Entire home/apt;4;2.0;2.0;3.0;110.0;300.0;50.0;1;0;5;1125;9;32;49;313;9;98.0;10.0;10.0;10.0;10.0;10.0;9.0;moderate;0.85;model/images\image-12895434.jpg
Sol;Centro;Apartment;Entire home/apt;4;1.0;0.0;1.0;95.0;;;2;20;3;1125;12;25;53;328;0;;;;;;;;strict;;model/images\image-10914136.jpg
Goya;Salamanca;Apartment;Entire home/apt;6;2.0;3.0;5.0;175.0;;;4;0;7;1125;0;3;7;192;14;89.0;9.0;9.0;10.0;10.0;10.0;9.0;moderate;0.34;model/images\image-1473278.jpg
Universidad;Centro;House;Entire home/apt;4;1.0;2.0;2.0;99.0;100.0;30.0;4;0;1;365;5;29;56;331;22;91.0;9.0;9.0;9.0;9.0;9.0;9.0;strict;5.45;model/images\image-16021966.jpg
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;75.0;100.0;25.0;1;0;1;1125;7;31;40;58;0;;;;;;;;strict;;model/images\image-17696958.jpg
Berruguete;Tetuán;Condominium;Private room;2;2.0;1.0;1.0;23.0;;;1;0;3;1125;3;16;44;319;20;93.0;9.0;9.0;10.0;10.0;9.0;9.0;flexible;1.07;model/images\image-7398694.jpg
Goya;Salamanca;Apartment;Private room;2;1.0;1.0;1.0;33.0;;;1;0;1;1125;5;26;45;135;38;97.0;10.0;9.0;10.0;10.0;10.0;10.0;flexible;5.45;model/images\image-14800635.jpg
Sol;Centro;Apartment;Entire home/apt;4;2.0;2.0;2.0;91.0;200.0;40.0;1;6;2;1125;9;21;41;139;117;88.0;9.0;9.0;9.0;9.0;10.0;9.0;moderate;2.51;model/images\image-1160920.jpg
Justicia;Centro;Apartment;Private room;1;1.0;;;68.0;;;1;0;1;1125;0;0;0;74;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.61;model/images\image-16850292.jpg
Rios Rosas;Chamberí;Bed & Breakfast;Private room;2;1.0;1.0;1.0;32.0;100.0;30.0;1;15;1;1125;24;49;63;335;15;96.0;10.0;10.0;10.0;10.0;10.0;9.0;moderate;1.33;model/images\image-10238470.jpg
Numancia;Puente de Vallecas;House;Entire home/apt;5;1.0;2.0;3.0;45.0;200.0;5.0;1;15;2;1125;0;0;0;267;15;93.0;9.0;10.0;10.0;10.0;8.0;9.0;moderate;1.07;model/images\image-10082484.jpg
Sol;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;60.0;100.0;20.0;1;0;1;1125;12;24;46;297;9;96.0;10.0;9.0;10.0;10.0;10.0;10.0;flexible;2.84;model/images\image-16568261.jpg
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;24.0;;5.0;1;0;1;1125;0;0;4;279;0;;;;;;;;flexible;;model/images\image-16399731.jpg
Niño Jesús;Retiro;Apartment;Private room;1;1.0;1.0;1.0;35.0;;;1;0;1;1125;30;60;90;365;2;80.0;9.0;8.0;9.0;9.0;10.0;8.0;flexible;0.11;model/images\image-7524816.jpg
Cortes;Centro;House;Entire home/apt;2;1.0;0.0;1.0;65.0;;;1;0;1;1000;3;9;19;288;247;95.0;10.0;10.0;9.0;9.0;10.0;10.0;moderate;8.32;model/images\image-4421901.jpg
Sol;Centro;Other;Entire home/apt;4;1.0;0.0;4.0;55.0;;7.0;3;6;1;1125;0;2;7;7;11;91.0;10.0;9.0;10.0;10.0;10.0;10.0;strict;5.0;model/images\image-16883258.jpg
Palos de Moguer;Arganzuela;Apartment;Private room;2;1.0;1.0;1.0;36.0;;;1;0;1;1125;0;23;53;328;29;99.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.15;model/images\image-3360988.jpg
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;6;2.0;3.0;3.0;169.0;150.0;50.0;1;0;4;1125;6;15;27;199;16;98.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.66;model/images\image-13501169.jpg
Embajadores;Centro;Loft;Entire home/apt;3;1.0;0.0;2.0;66.0;150.0;20.0;1;0;2;1125;17;47;77;352;1;80.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.0;model/images\image-17713526.jpg
Cortes;Centro;Apartment;Private room;2;1.0;1.0;1.0;50.0;150.0;;1;10;2;5;15;45;75;76;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.0;model/images\image-17689982.jpg
Goya;Salamanca;Apartment;Entire home/apt;4;1.0;1.0;2.0;40.0;;;1;0;1;1125;2;6;6;43;0;;;;;;;;flexible;;model/images\image-17904558.jpg
Gaztambide;Chamberí;Apartment;Private room;1;1.0;1.0;1.0;33.0;;15.0;1;0;2;31;7;37;67;68;0;;;;;;;;flexible;;model/images\image-17729887.jpg
Cortes;Centro;Apartment;Private room;1;1.0;1.0;1.0;36.0;;;1;0;1;2;7;37;67;342;0;;;;;;;;flexible;;model/images\image-17746941.jpg
Embajadores;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;52.0;;20.0;2;10;2;999;1;5;10;261;35;95.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;5.47;model/images\image-15242424.jpg
Opañel;Carabanchel;Apartment;Private room;2;1.0;1.0;1.0;16.0;;;1;10;2;1125;9;9;9;281;10;92.0;9.0;10.0;10.0;10.0;8.0;9.0;strict;0.64;model/images\image-6849957.jpg
Argüelles;Moncloa - Aravaca;Apartment;Private room;1;1.0;1.0;1.0;25.0;;10.0;1;10;2;1125;0;0;23;298;7;83.0;9.0;9.0;9.0;9.0;9.0;9.0;moderate;0.33;model/images\image-6859002.jpg
Jerónimos;Retiro;Apartment;Private room;1;2.0;1.0;1.0;20.0;;;1;0;1;1125;0;2;5;207;133;90.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;2.57;model/images\image-838712.jpg
Palacio;Centro;Apartment;Entire home/apt;6;2.0;2.0;2.0;72.0;200.0;25.0;2;20;2;1125;6;6;6;6;119;90.0;9.0;10.0;9.0;9.0;10.0;9.0;moderate;2.79;model/images\image-1717189.jpg
Numancia;Puente de Vallecas;Apartment;Private room;2;1.0;1.0;1.0;29.0;299.0;10.0;1;8;3;1125;0;0;0;223;7;100.0;10.0;10.0;10.0;10.0;9.0;10.0;strict;0.3;model/images\image-6257288.jpg
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;3.0;45.0;100.0;30.0;2;12;4;1125;3;3;5;162;68;87.0;9.0;9.0;9.0;10.0;10.0;9.0;strict;1.56;model/images\image-546735.jpg
Sol;Centro;Apartment;Private room;2;5.0;1.0;1.0;32.0;200.0;;1;0;4;1125;0;0;10;10;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.13;model/images\image-6038608.jpg
Acacias;Arganzuela;Condominium;Private room;2;1.0;1.0;1.0;30.0;;;2;0;1;30;0;0;0;0;0;;;;;;;;flexible;;model/images\image-7273497.jpg
Almagro;Chamberí;Bed & Breakfast;Private room;1;6.0;1.0;1.0;45.0;85.0;;1;45;1;40;0;0;0;31;3;90.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.09;model/images\image-3592556.jpg
Universidad;Centro;Condominium;Entire home/apt;4;1.0;1.0;1.0;99.0;;40.0;2;0;1;1125;3;29;47;317;6;97.0;10.0;9.0;10.0;10.0;10.0;10.0;strict;2.61;model/images\image-16872328.jpg
Chopera;Arganzuela;Apartment;Private room;2;1.0;1.0;1.0;19.0;;12.0;2;19;1;1125;8;28;49;120;33;87.0;9.0;9.0;9.0;9.0;9.0;9.0;strict;1.89;model/images\image-9141178.jpg
Atocha;Arganzuela;Apartment;Entire home/apt;6;1.0;2.0;2.0;69.0;200.0;20.0;3;10;3;1000;4;11;19;262;25;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;4.52;model/images\image-15645521.jpg
Palacio;Centro;Apartment;Entire home/apt;5;2.0;2.0;3.0;89.0;;25.0;2;12;2;1125;10;21;43;50;53;89.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;2.81;model/images\image-8242787.jpg
Almagro;Chamberí;Apartment;Entire home/apt;7;2.0;2.0;4.0;105.0;200.0;30.0;2;18;3;30;10;20;33;308;60;96.0;9.0;10.0;10.0;10.0;10.0;10.0;moderate;1.51;model/images\image-1610861.jpg
Chopera;Arganzuela;House;Entire home/apt;4;1.0;1.0;1.0;70.0;;;1;0;3;30;0;0;0;0;0;;;;;;;;flexible;;model/images\image-7094742.jpg
Imperial;Arganzuela;Apartment;Entire home/apt;3;1.0;2.0;2.0;51.0;100.0;30.0;2;10;2;1125;0;0;10;285;2;60.0;6.0;6.0;8.0;8.0;10.0;8.0;strict;0.18;model/images\image-12006694.jpg
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;3;1.0;2.0;2.0;60.0;;30.0;1;0;1;1125;0;0;0;0;1;60.0;8.0;6.0;10.0;10.0;10.0;10.0;flexible;0.09;model/images\image-12129380.jpg
Puerta Bonita;Carabanchel;Apartment;Private room;2;1.0;1.0;1.0;16.0;;;1;12;1;1125;22;52;82;82;14;90.0;10.0;9.0;10.0;10.0;10.0;10.0;flexible;1.56;model/images\image-13677539.jpg
Cortes;Centro;Apartment;Entire home/apt;2;1.0;0.0;2.0;89.0;;;1;0;1;1125;15;44;74;349;1;80.0;8.0;8.0;2.0;8.0;8.0;8.0;flexible;0.77;model/images\image-14564175.jpg
Trafalgar;Chamberí;Apartment;Entire home/apt;2;1.0;0.0;1.0;40.0;;10.0;1;0;2;1125;2;2;3;88;30;94.0;9.0;10.0;10.0;10.0;10.0;9.0;moderate;4.84;model/images\image-15047803.jpg
Embajadores;Centro;Apartment;Entire home/apt;2;2.0;1.0;1.0;95.0;;20.0;2;0;3;1125;0;1;8;53;72;98.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;2.86;model/images\image-5529302.jpg
