Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month;image_path
Embajadores;Centro;House;Entire home/apt;6;1.0;3.0;5.0;96.0;150.0;25.0;5;15;2;1125;0;6;18;44;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.92;model/images\image-16489427.jpg
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;70.0;195.0;9.0;2;19;1;30;1;9;21;268;71;92.0;10.0;9.0;10.0;10.0;9.0;10.0;moderate;7.8;model/images\image-189512.jpg
Almendrales;Usera;Apartment;Private room;2;1.0;1.0;2.0;29.0;;;1;5;1;1125;20;44;69;342;7;93.0;9.0;10.0;9.0;10.0;10.0;9.0;flexible;0.65;model/images\image-11504109.jpg
Embajadores;Centro;Apartment;Private room;2;2.0;1.0;1.0;25.0;;15.0;1;10;3;1125;0;0;0;0;0;;;;;;;;strict;;model/images\image-13384536.jpg
Aravaca;Moncloa - Aravaca;Apartment;Entire home/apt;6;2.5;3.0;4.0;90.0;;;1;0;14;30;0;0;0;39;0;;;;;;;;flexible;;model/images\image-16768677.jpg
Sol;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;99.0;450.0;50.0;1;0;3;1125;1;7;14;234;64;97.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;2.67;model/images\image-6008086.jpg
Guindalera;Salamanca;Apartment;Entire home/apt;4;1.0;1.0;2.0;60.0;125.0;25.0;2;10;2;365;6;19;44;134;32;94.0;10.0;9.0;9.0;10.0;9.0;10.0;strict;4.03;model/images\image-14125592.jpg
Puerta del Angel;Latina;Apartment;Private room;2;1.0;1.0;1.0;35.0;;;1;0;1;1125;0;0;0;0;14;90.0;9.0;9.0;9.0;10.0;10.0;10.0;strict;1.34;model/images\image-12786739.jpg
Arapiles;Chamberí;Apartment;Entire home/apt;2;1.0;0.0;1.0;47.0;;;1;0;2;30;0;0;0;267;0;;;;;;;;strict;;model/images\image-13664039.jpg
Acacias;Arganzuela;House;Entire home/apt;4;2.0;2.0;4.0;90.0;100.0;;2;25;3;1125;7;17;19;239;15;92.0;9.0;9.0;9.0;9.0;9.0;9.0;strict;0.63;model/images\image-6023704.jpg
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;30.0;;;1;10;2;1125;0;6;36;126;25;92.0;10.0;9.0;10.0;10.0;10.0;9.0;moderate;1.41;model/images\image-8965478.jpg
Delicias;Arganzuela;Apartment;Private room;4;1.0;2.0;3.0;65.0;;12.0;1;0;2;5;15;45;72;72;2;90.0;9.0;9.0;9.0;7.0;8.0;8.0;strict;1.43;model/images\image-15815848.jpg
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;62.0;200.0;19.0;2;28;2;1125;10;16;20;128;17;94.0;10.0;10.0;9.0;9.0;10.0;9.0;moderate;1.07;model/images\image-9506096.jpg
Gaztambide;Chamberí;Apartment;Private room;1;2.0;1.0;1.0;14.0;;;1;0;1;5;0;0;0;0;5;96.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.27;model/images\image-16305644.jpg
Pinar del Rey;Hortaleza;Apartment;Private room;1;2.0;1.0;2.0;38.0;96.0;19.0;1;0;1;1125;28;58;88;363;0;;;;;;;;flexible;;model/images\image-16411092.jpg
Concepción;Ciudad Lineal;Apartment;Private room;1;1.0;1.0;1.0;30.0;;;1;0;3;1125;0;0;0;169;67;95.0;10.0;10.0;10.0;10.0;9.0;9.0;flexible;2.24;model/images\image-4367064.jpg
Sol;Centro;Apartment;Private room;2;1.0;1.0;1.0;49.0;;6.0;1;15;1;10;3;9;24;115;35;87.0;9.0;9.0;9.0;9.0;9.0;9.0;flexible;1.14;model/images\image-3988601.jpg
Arapiles;Chamberí;Apartment;Entire home/apt;4;1.5;2.0;2.0;90.0;200.0;49.0;2;11;4;365;8;30;54;329;2;80.0;6.0;8.0;10.0;10.0;10.0;6.0;flexible;0.67;model/images\image-14833545.jpg
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;3.0;65.0;100.0;25.0;2;15;1;28;1;12;35;126;28;95.0;9.0;10.0;10.0;10.0;10.0;10.0;strict;3.59;model/images\image-14003798.jpg
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;4;1.0;2.0;3.0;90.0;100.0;30.0;4;15;2;1125;15;38;65;336;19;91.0;10.0;9.0;9.0;10.0;10.0;9.0;moderate;2.69;model/images\image-14434928.jpg
Justicia;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;48.0;100.0;5.0;1;0;2;1125;4;4;4;4;1;100.0;10.0;8.0;10.0;10.0;10.0;8.0;moderate;1.0;model/images\image-17826948.jpg
Palos de Moguer;Arganzuela;Apartment;Private room;2;1.0;1.0;1.0;25.0;91.0;10.0;1;7;1;1125;0;0;0;0;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.58;model/images\image-14372147.jpg
Universidad;Centro;Apartment;Entire home/apt;5;2.0;3.0;3.0;150.0;250.0;30.0;1;0;2;1125;5;7;12;241;9;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;4.58;model/images\image-17028860.jpg
Palacio;Centro;Apartment;Private room;1;2.0;1.0;1.0;20.0;;15.0;1;0;10;1125;0;6;36;311;0;;;;;;;;strict;;model/images\image-6551083.jpg
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;35.0;;10.0;1;10;3;1125;20;50;80;355;39;97.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;2.09;model/images\image-8367333.jpg
Acacias;Arganzuela;Apartment;Private room;2;2.0;1.0;2.0;25.0;;15.0;1;12;1;22;18;48;78;353;15;96.0;9.0;10.0;10.0;10.0;10.0;10.0;flexible;2.32;model/images\image-15174470.jpg
Quintana;Ciudad Lineal;Apartment;Entire home/apt;4;1.0;2.0;3.0;60.0;100.0;;3;15;2;60;0;0;0;0;15;87.0;9.0;9.0;10.0;10.0;9.0;9.0;flexible;1.04;model/images\image-10016232.jpg
Quintana;Ciudad Lineal;Apartment;Private room;3;1.0;1.0;1.0;21.0;96.0;;1;10;1;1125;28;58;88;178;0;;;;;;;;strict;;model/images\image-16524955.jpg
Palomeras Bajas;Puente de Vallecas;Apartment;Entire home/apt;4;1.0;1.0;2.0;60.0;;15.0;2;15;1;1125;18;33;57;328;4;80.0;8.0;9.0;9.0;9.0;9.0;9.0;strict;1.71;model/images\image-16398593.jpg
Cortes;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;55.0;;15.0;2;14;2;1125;7;12;23;291;122;93.0;9.0;9.0;10.0;10.0;10.0;9.0;moderate;4.01;model/images\image-2684767.jpg
Embajadores;Centro;Apartment;Entire home/apt;13;2.0;4.0;8.0;145.0;150.0;40.0;7;20;1;1125;9;24;42;277;38;92.0;9.0;10.0;10.0;10.0;10.0;9.0;strict;3.26;model/images\image-9881248.jpg
Universidad;Centro;Condominium;Private room;1;1.0;1.0;1.0;29.0;;;1;0;2;30;8;8;17;17;4;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.74;model/images\image-15098637.jpg
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;2;1.0;1.0;1.0;150.0;300.0;;2;0;5;1125;13;35;55;165;21;98.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.82;model/images\image-4437209.jpg
Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;86.0;281.0;33.0;1;0;3;1125;12;27;57;332;10;94.0;10.0;9.0;10.0;10.0;10.0;9.0;flexible;0.9;model/images\image-8634850.jpg
Trafalgar;Chamberí;Apartment;Private room;2;1.0;1.0;1.0;35.0;;;1;15;1;1125;15;42;65;73;19;99.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.67;model/images\image-12242112.jpg
Universidad;Centro;Condominium;Entire home/apt;2;1.0;1.0;1.0;80.0;90.0;;1;0;1;1125;0;0;0;0;0;;;;;;;;flexible;;model/images\image-13510273.jpg
Universidad;Centro;Condominium;Private room;1;1.0;1.0;1.0;35.0;200.0;30.0;1;0;7;1125;0;21;51;80;0;;;;;;;;strict;;model/images\image-18071571.jpg
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;59.0;;10.0;2;0;2;1125;0;4;11;184;74;98.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;6.24;model/images\image-12450824.jpg
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;4;1.0;2.0;3.0;70.0;200.0;40.0;1;0;2;90;0;7;7;169;4;95.0;10.0;9.0;10.0;10.0;10.0;10.0;moderate;0.44;model/images\image-13125827.jpg
Embajadores;Centro;Apartment;Entire home/apt;4;2.0;2.0;3.0;140.0;500.0;90.0;1;0;3;1125;11;31;55;330;18;90.0;9.0;10.0;10.0;9.0;10.0;9.0;strict;0.72;model/images\image-5409077.jpg
Lista;Salamanca;Apartment;Private room;2;1.0;1.0;1.0;22.0;;;1;8;2;365;0;0;0;0;116;87.0;9.0;9.0;9.0;9.0;9.0;9.0;moderate;3.66;model/images\image-3840575.jpg
